_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
1098104_CLEARTRIP,CLEARTRIP,15.598221,73.773384,Goa,403507,OYO Rooms
1098132_CLEARTRIP,CLEARTRIP,30.87244,75.91101,Ludhiana,141003,OYO Rooms
1098136_CLEARTRIP,CLEARTRIP,10.240341,77.50253,Kodaikanal,624101,NA
1098124_CLEARTRIP,CLEARTRIP,12.839102,77.66499,Bangalore,560100,OYO Rooms
1099100_CLEARTRIP,CLEARTRIP,32.20185,76.32135,Dharamshala,176215,OYO Rooms
1100748_CLEARTRIP,CLEARTRIP,31.09166,77.17779,Shimla,171002,OYO Rooms
1098138_CLEARTRIP,CLEARTRIP,12.991854,77.588295,Bangalore,560052,NA
1116502_CLEARTRIP,CLEARTRIP,17.384974,78.48256,Hyderabad,500095,OYO Rooms
1098116_CLEARTRIP,CLEARTRIP,12.966716,77.641174,Bangalore,560008,OYO Rooms
1116508_CLEARTRIP,CLEARTRIP,17.41183,78.44377,Hyderabad,500034,OYO Rooms
1116516_CLEARTRIP,CLEARTRIP,17.43343,78.3744,Hyderabad,500081,OYO Rooms
1116520_CLEARTRIP,CLEARTRIP,11.661699,92.7349,Port Blair,NA,NA
1116530_CLEARTRIP,CLEARTRIP,25.303968,82.990005,Varanasi,221001,NA
1116532_CLEARTRIP,CLEARTRIP,34.1721,77.57517,Leh,194101,NA
1116536_CLEARTRIP,CLEARTRIP,30.341585,78.06098,Dehradun,248001,NA
1116538_CLEARTRIP,CLEARTRIP,17.447222,78.3805,Hyderabad,500081,OYO Rooms
1126556_CLEARTRIP,CLEARTRIP,32.250687,77.177155,Manali,175131,NA
1126562_CLEARTRIP,CLEARTRIP,31.617765,74.87317,Amritsar,143001,NA
1126564_CLEARTRIP,CLEARTRIP,28.481428,77.09192,Gurgaon,122001,OYO Rooms
1126610_CLEARTRIP,CLEARTRIP,22.309004,73.17944,Vadodara,390005,OYO Rooms
1097828_CLEARTRIP,CLEARTRIP,28.542196,77.1283,New Delhi,110037,NA
1132516_CLEARTRIP,CLEARTRIP,26.83584,80.924194,Lucknow,226004,OYO Rooms
1136714_CLEARTRIP,CLEARTRIP,17.42848,78.43941,Hyderabad,500073,OYO Rooms
1136718_CLEARTRIP,CLEARTRIP,26.451118,80.30962,Kanpur,208006,NA
1136794_CLEARTRIP,CLEARTRIP,30.339449,76.40051,Patiala,147001,NA
1136858_CLEARTRIP,CLEARTRIP,15.476657,73.80931,Goa,403002,OYO Rooms
1136860_CLEARTRIP,CLEARTRIP,34.621414,77.37791,Leh,194101,NA
1102736_CLEARTRIP,CLEARTRIP,26.888489,75.80863,Jaipur,302015,Citrus Hotels
1136892_CLEARTRIP,CLEARTRIP,15.5692,73.75368,Goa,403516,NA
1126594_CLEARTRIP,CLEARTRIP,26.852755,81.026215,Lucknow,226010,OYO Rooms
1136972_CLEARTRIP,CLEARTRIP,31.88361,77.1481,Kullu,175101,V Resorts
1136894_CLEARTRIP,CLEARTRIP,19.100166,72.881424,Mumbai,400069, Treebo Hotels
1136988_CLEARTRIP,CLEARTRIP,15.008113,74.02725,Goa,403702,NA
1137002_CLEARTRIP,CLEARTRIP,24.489843,86.693436,Deoghar,814112,NA
1137010_CLEARTRIP,CLEARTRIP,13.062236,80.27459,Chennai,600005,Vista Rooms
1162034_CLEARTRIP,CLEARTRIP,19.068033,73.46326,Mumbai,410201,NA
1162072_CLEARTRIP,CLEARTRIP,19.991697,73.78258,Nashik,422011,Vista Rooms
1136884_CLEARTRIP,CLEARTRIP,30.318254,78.04003,Dehradun,248001,NA
1162070_CLEARTRIP,CLEARTRIP,18.591791,73.74513,Pune,411057,NA
122936_CLEARTRIP,CLEARTRIP,15.687629,73.70775,Goa,403518,NA
122890_CLEARTRIP,CLEARTRIP,12.985027,77.57921,Bangalore,560001,Hotelrez
1136874_CLEARTRIP,CLEARTRIP,21.63525,85.60657,Keonjhar,758001,NA
1282152_CLEARTRIP,CLEARTRIP,9.965882,76.28827,Kochi,682016,OYO Rooms
1282194_CLEARTRIP,CLEARTRIP,18.752924,73.40552,Lonavala,410401,Vista Rooms
1292376_CLEARTRIP,CLEARTRIP,32.23599,77.19474,Manali,175131,OYO Rooms
1302414_CLEARTRIP,CLEARTRIP,28.647774,77.18863,New Delhi,110 005,NA
123303_CLEARTRIP,CLEARTRIP,28.65269,77.19468,New Delhi,110005,NA
123148_CLEARTRIP,CLEARTRIP,8.838432,76.67942,Kollam,691334,NA
123173_CLEARTRIP,CLEARTRIP,32.221375,77.1997,Manali,175131,Club Mahindra
1306520_CLEARTRIP,CLEARTRIP,31.634537,74.86729,Amritsar,143001,OYO Rooms
1315038_CLEARTRIP,CLEARTRIP,23.140182,75.79082,Ujjain,456664,Vista Rooms
1315512_CLEARTRIP,CLEARTRIP,30.979599,77.112,Shimla,173215,OYO Rooms
1316534_CLEARTRIP,CLEARTRIP,20.371237,72.92303,Vapi,396195,Vista Rooms
1323064_CLEARTRIP,CLEARTRIP,19.72504,73.63134,Nashik,416712,NA
1323068_CLEARTRIP,CLEARTRIP,19.058033,72.84574,Mumbai,400051,Vista Rooms
1323074_CLEARTRIP,CLEARTRIP,19.865814,75.31197,Aurangabad,431001,Vista Rooms
1323088_CLEARTRIP,CLEARTRIP,19.876202,75.349976,Aurangabad,431001,Vista Rooms
1313554_CLEARTRIP,CLEARTRIP,23.02513,72.55424,Ahmedabad,380006,Vista Rooms
1323138_CLEARTRIP,CLEARTRIP,18.7539,74.2473,Pune,412209,NA
1323096_CLEARTRIP,CLEARTRIP,12.330636,76.64542,Mysore,570015,OYO Rooms
1323188_CLEARTRIP,CLEARTRIP,22.916845,76.00322,Indore,455111,Vista Rooms
1323176_CLEARTRIP,CLEARTRIP,32.246822,77.1808,Manali,175131,NA
1312802_CLEARTRIP,CLEARTRIP,12.831238,77.41225,Bangalore,560100,NA
1323060_CLEARTRIP,CLEARTRIP,12.315991,76.65818,Mysore,570001,OYO Rooms
1323214_CLEARTRIP,CLEARTRIP,22.30814,73.17509,Vadodara,390007,OYO Rooms
1323218_CLEARTRIP,CLEARTRIP,19.93831,73.53343,Trimbakeshwar,422212,NA
1323228_CLEARTRIP,CLEARTRIP,10.80737,78.68142,Trichy,620001,OYO Rooms
1323240_CLEARTRIP,CLEARTRIP,9.916728,78.10597,Madurai,625016,OYO Rooms
1323226_CLEARTRIP,CLEARTRIP,15.534346,73.76021,Goa,403516,OYO Rooms
1323266_CLEARTRIP,CLEARTRIP,20.426043,72.83209,Daman,396210,Vista Rooms
1323296_CLEARTRIP,CLEARTRIP,15.576186,73.74685,Goa,403509,NA
1323418_CLEARTRIP,CLEARTRIP,13.055514,80.2119,Chennai,600026,vista
1323454_CLEARTRIP,CLEARTRIP,13.05443,80.260185,Chennai,600002,Vista Rooms
1323222_CLEARTRIP,CLEARTRIP,19.869577,75.327644,Aurangabad,431005,OYO Rooms
1323470_CLEARTRIP,CLEARTRIP,17.712225,83.300064,Visakhapatnam,530020,OYO Rooms
1323680_CLEARTRIP,CLEARTRIP,19.872171,75.315056,Aurangabad,431005,Vista Rooms
1323694_CLEARTRIP,CLEARTRIP,11.001331,76.969986,Coimbatore,641018,Vista Rooms
1323496_CLEARTRIP,CLEARTRIP,17.720432,83.31331,Visakhapatnam,530003,OYO Rooms
