_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
00000001_TRAVELGURU,TRAVELGURU,28.526241,77.09259,NEW DELHI,110037,Sahni Resorts Pvt.Ltd.
00000013_TRAVELGURU,TRAVELGURU,23.723888,81.02488,BANDHAVGARH,484661,--None--
00000007_TRAVELGURU,TRAVELGURU,28.543821,77.1197,NEW DELHI,110037,Carlson Hotels
00000032_TRAVELGURU,TRAVELGURU,25.139332,72.68005,SIANA,343024,--None--
00000045_TRAVELGURU,TRAVELGURU,9.9938,76.290565,Cochin,682017,Sarovar Hotels
00000040_TRAVELGURU,TRAVELGURU,13.065055,80.210526,CHENNAI,600106,Sarovar Hotels
00000050_TRAVELGURU,TRAVELGURU,18.93119,72.82317,MUMBAI,400020,Sarovar Hotels
00000027_TRAVELGURU,TRAVELGURU,28.040817,73.331024,BIKANER,334001,--None--
00000061_TRAVELGURU,TRAVELGURU,23.629732,80.84283,BANDHAVGARH,484661,--None--
00000066_TRAVELGURU,TRAVELGURU,25.011621,74.76836,CHITTORGARH,312022,Welcome Heritage Hotels
00000056_TRAVELGURU,TRAVELGURU,15.174083,73.944954,GOA,403731,--None--
00000070_TRAVELGURU,TRAVELGURU,26.973888,73.405556,KHIMSAR,341025,ITC Hotels
00000019_TRAVELGURU,TRAVELGURU,22.80069,88.36157,KOLKATA,700016,The Park Hotels
00000084_TRAVELGURU,TRAVELGURU,30.459936,78.06951,MUSSOORIE,248179,Welcome Heritage Hotels
00000101_TRAVELGURU,TRAVELGURU,26.480955,74.523636,PUSHKAR,305022,--None--
00000108_TRAVELGURU,TRAVELGURU,18.531456,73.84728,PUNE,411005,Pride Group Hotels
00000113_TRAVELGURU,TRAVELGURU,32.24409,76.33144,MCLEODGANJ,176216,--None--
00000122_TRAVELGURU,TRAVELGURU,17.921448,73.65937,MAHABALESHWAR,412806,--None--
00000127_TRAVELGURU,TRAVELGURU,27.043463,88.26535,DARJEELING,734101,--None--
00000078_TRAVELGURU,TRAVELGURU,32.221783,76.31715,DHARAMSHALA,176215,Welcome Heritage Hotels
